gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727816694	398	89	308	3	214	2.5e-63	213	pfam16576	HlyD_D23	214
2727816695	194	27	98	9	67	1.3e-06	27.9	pfam04542	Sigma70_r2	71
2727816695	194	127	180	2	51	4.8e-13	48.4	pfam08281	Sigma70_r4_2	54
2727816696	450	229	440	18	169	1.0e-06	28.9	pfam13505	OMP_b-brl	177
2727816698	204	20	110	70	151	7.5e-14	52	pfam03713	DUF305	152
2727816698	204	111	199	68	152	1.2e-13	51.3	pfam03713	DUF305	152
2727816700	155	3	154	337	459	1.0e-17	65.1	pfam00593	TonB_dep_Rec	461
2727816701	572	77	169	23	102	1.9e-04	21.8	pfam07715	Plug	108
2727816703	396	26	196	2	184	1.1e-08	34.9	pfam02321	OEP	188
2727816703	396	221	394	7	188	5.2e-17	62.1	pfam02321	OEP	188
2727816704	556	247	476	5	211	2.6e-16	59.4	pfam16576	HlyD_D23	214
2727816705	149	27	147	1	118	1.8e-14	53.9	pfam13474	SnoaL_3	121
2727816706	115	53	81	1	27	3.1e-05	23.1	pfam13453	zf-TFIIB	41
2727816709	303	59	294	11	234	3.4e-07	29.8	pfam05875	Ceramidase	263
2727816710	1076	5	1059	2	1018	0.0e+00	864.4	pfam00873	ACR_tran	1021
2727816711	220	25	208	2	130	2.7e-19	69.9	pfam13590	DUF4136	131
2727816713	216	48	144	2	97	5.3e-19	68.6	pfam13649	Methyltransf_25	97
2727816714	189	39	185	9	144	1.3e-44	151.4	pfam11138	DUF2911	145
2727816716	753	62	176	2	118	1.1e-35	122.1	pfam07732	Cu-oxidase_3	119
2727816716	753	181	335	2	125	1.9e-18	67	pfam00394	Cu-oxidase	159
2727816716	753	448	567	9	131	6.3e-25	87.4	pfam07731	Cu-oxidase_2	137
2727816718	161	99	161	1	53	3.8e-12	46.5	pfam03713	DUF305	152
2727816719	764	229	449	2	221	1.7e-60	203.9	pfam00122	E1-E2_ATPase	221
2727816719	764	454	667	1	210	2.3e-41	142.3	pfam00702	Hydrolase	210
2727816721	261	9	259	2	125	3.6e-07	29.7	pfam03929	PepSY_TM	250
2727816723	1457	5	1031	1	1020	0.0e+00	958.8	pfam00873	ACR_tran	1021
2727816723	1457	1071	1246	1	187	1.8e-16	60.4	pfam02321	OEP	188
2727816723	1457	1266	1455	7	184	2.1e-13	50.3	pfam02321	OEP	188
2727816724	404	65	300	2	213	3.0e-28	98.4	pfam16576	HlyD_D23	214
2727816727	287	1	281	1	290	1.1e-114	382.7	pfam04228	Zn_peptidase	290
2727816728	130	12	123	1	94	3.4e-15	56.7	pfam11964	SpoIIAA-like	95
2727816729	735	8	397	1	367	2.7e-56	190.8	pfam00916	Sulfate_transp	381
2727816729	735	570	721	1	156	8.9e-32	110.4	pfam00484	Pro_CA	156
2727816730	156	14	136	1	116	3.2e-34	117.8	pfam02308	MgtC	121
2727816731	299	17	208	1	199	4.9e-46	156.9	pfam01545	Cation_efflux	199
2727816732	225	39	215	3	173	4.5e-56	189.1	pfam07077	DUF1345	173
2727816735	203	44	139	1	87	4.5e-08	33.6	pfam13649	Methyltransf_25	97
2727816737	666	135	357	2	220	5.2e-55	186	pfam00122	E1-E2_ATPase	221
2727816737	666	362	572	1	207	2.0e-31	109.8	pfam00702	Hydrolase	210
2727816741	169	20	142	5	123	4.8e-16	58.7	pfam00578	AhpC-TSA	124
2727816742	742	23	104	1	88	5.2e-17	61.5	pfam13715	CarbopepD_reg_2	88
2727816742	742	115	220	6	107	4.4e-08	33.5	pfam07715	Plug	108
2727816743	219	3	61	6	59	3.7e-17	62.1	pfam01325	Fe_dep_repress	60
2727816743	219	64	133	1	70	1.0e-31	108.6	pfam02742	Fe_dep_repr_C	70
2727816743	219	144	218	2	72	1.1e-08	35.1	pfam04023	FeoA	74
2727816744	398	29	108	26	86	1.2e-05	24	pfam06537	DHOR	494
2727816744	398	130	398	216	494	7.1e-73	245.8	pfam06537	DHOR	494
2727816745	148	50	133	6	89	1.4e-14	53.6	pfam00355	Rieske	89
2727816747	125	42	89	2	46	3.0e-15	55.7	pfam01022	HTH_5	47
2727816748	229	3	117	13	116	1.6e-14	53.8	pfam02411	MerT	116
2727816748	229	137	198	2	62	2.9e-10	40.3	pfam00403	HMA	62
2727816750	565	9	256	2	218	1.7e-25	90.4	pfam03235	DUF262	221
2727816751	167	59	143	2	83	3.5e-11	43.2	pfam13772	AIG2_2	83
2727816753	132	1	100	6	102	5.4e-16	58.4	pfam00436	SSB	104
2727816754	344	84	315	6	227	2.7e-63	213.7	pfam06067	DUF932	228
2727816755	292	11	240	1	241	4.9e-13	49.5	pfam00656	Peptidase_C14	248
2727816756	157	33	156	1	122	5.6e-37	126.3	pfam04002	RadC	122
2727816758	487	9	476	8	443	6.1e-102	341.8	pfam11855	DUF3375	475
2727816759	198	15	182	1	167	5.6e-31	107.4	pfam13835	DUF4194	167
2727816760	1132	16	77	1	60	7.8e-22	76.6	pfam13555	AAA_29	61
2727816760	1132	980	1072	2	89	1.0e-18	67.2	pfam13558	SbcCD_C	90
2727816761	380	4	184	3	190	3.3e-21	76	pfam11795	DUF3322	190
2727816761	380	204	375	8	178	6.8e-37	126.4	pfam09983	DUF2220	180
2727816764	423	8	227	6	202	2.0e-20	73.3	pfam03432	Relaxase	242
2727816765	652	3	61	2	60	2.6e-25	88.3	pfam14293	YWFCY	60
2727816765	652	156	609	36	407	7.4e-21	74.3	pfam02534	T4SS-DNA_transf	469
2727816766	290	60	204	1	131	1.4e-23	83.6	pfam00004	AAA	132
2727816771	212	115	192	4	68	1.8e-05	24.4	pfam00717	Peptidase_S24	70
2727816772	366	11	356	2	314	2.1e-93	313	pfam06250	DUF1016	318
