Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727791427	CE1.hmm	3.8e-52	1	226	21	275		0.991189427312775
2727791451	GH5.hmm	6.7e-33	35	239	3	329		0.741818181818182
2727791458	GT26.hmm	1e-43	2	171	61	226		0.988304093567251
2727791461	AA3.hmm	1.1e-45	90	403	16	551		0.506472491909385
2727791462	GT4.hmm	5.8e-31	12	157	204	348		0.90625
2727791464	GT2.hmm	1.6e-14	1	124	18	139		0.732142857142857
2727791465	GT2.hmm	1.2e-27	1	104	4	108		0.613095238095238
2727791481	GH23.hmm	9.3e-18	13	122	127	229		0.807407407407407
2727791537	CE1.hmm	4.7e-07	27	142	13	119		0.506607929515419
2727791633	GH3.hmm	6.5e-47	6	215	54	285		0.967592592592593
2727791719	GT60.hmm	1.4e-60	1	329	2	300		0.993939393939394
2727791720	AA7.hmm	6.8e-13	11	194	53	243		0.399563318777293
2727791745	GT20.hmm	2.5e-163	15	474	4	453		0.966315789473684
2727791746	GH15.hmm	1.7e-73	2	360	225	589		0.991689750692521
2727791786	CBM13.hmm	3.8e-21	14	133	34	154		0.632978723404255
2727791852	GH23.hmm	7.6e-26	14	122	501	628		0.8
2727791878	GH23.hmm	1e-30	16	123	102	218		0.792592592592593
2727791890	CBM50.hmm	2.5e-10	1	39	80	127		0.95
2727791903	GT83.hmm	5.8e-15	13	374	28	385		0.668518518518519
2727791959	CE16.hmm	7.5e-07	147	265	142	273		0.441947565543071
2727791998	GH103.hmm	2.1e-84	10	294	65	361		0.96271186440678
2727792060	AA6.hmm	6.6e-80	2	195	4	197		0.98974358974359
2727792082	GT2.hmm	6.8e-15	2	127	54	184		0.744047619047619
2727792083	GT2.hmm	1.6e-21	4	166	1	170		0.964285714285714
2727792085	AA7.hmm	2.3e-09	49	187	43	182		0.301310043668122
2727792094	GT2.hmm	1.2e-27	1	138	400	539		0.81547619047619
2727792094	GT2.hmm	4.7e-13	2	167	661	837		0.982142857142857
2727792134	GT81.hmm	2.3e-21	19	216	6	187		0.672354948805461
2727792208	GT4.hmm	1.1e-17	11	146	142	275		0.84375
2727792268	CE3.hmm	2.1e-12	2	182	11	176		0.927835051546392
2727792322	CE10.hmm	5.9e-30	64	329	403	655		0.777126099706745
2727792430	GH5.hmm	7e-37	20	237	68	406		0.789090909090909
2727792458	CE1.hmm	4.8e-08	29	208	35	215		0.788546255506608
2727792463	AA6.hmm	2.7e-06	56	116	60	119		0.307692307692308
2727792515	GT26.hmm	0.00059	47	107	186	251		0.350877192982456
2727792545	CE1.hmm	5e-06	26	121	75	170		0.418502202643172
2727792572	CE1.hmm	1.1e-09	24	202	14	197		0.784140969162996
2727792895	AA12.hmm	7.3e-19	5	399	72	409		0.982543640897756
2727792934	GH8.hmm	1.7e-61	2	319	93	435		0.990625
2727792992	GH73.hmm	7.3e-35	1	125	165	302		0.96875
2727793002	CE10.hmm	1.8e-51	94	335	66	292		0.706744868035191
2727793044	GT51.hmm	2.1e-71	2	177	79	253		0.988700564971751
2727793154	GH2.hmm	1.5e-105	25	485	11	584		0.611702127659574
2727793157	GH1.hmm	3.8e-40	51	402	29	379		0.818181818181818
2727793186	AA3_2.hmm	2.1e-118	5	568	2	528		0.987719298245614
2727793221	AA12.hmm	4.3e-11	86	217	174	296		0.326683291770574
2727793255	GH23.hmm	4.3e-18	5	120	92	195		0.851851851851852
2727793295	CE1.hmm	1.2e-08	53	143	63	276		0.39647577092511
2727793358	CE10.hmm	1.7e-35	72	316	69	292		0.715542521994135
2727793430	CE1.hmm	1.2e-08	7	210	22	222		0.894273127753304
2727793553	GH1.hmm	3.7e-43	51	425	29	384		0.871794871794872
2727793565	GT2.hmm	7.2e-10	3	118	10	105		0.68452380952381
2727793565	GT27.hmm	1e-06	134	235	124	224		0.342372881355932
2727793581	GT9.hmm	4.3e-34	4	201	78	302		0.875555555555556
2727793582	GT30.hmm	2.2e-62	2	176	48	223		0.983050847457627
2727793586	AA6.hmm	2.4e-06	14	120	17	132		0.543589743589744
2727793624	AA4.hmm	1.5e-24	54	280	57	279		0.432950191570881
2727793748	AA1.hmm	9.7e-25	444	737	96	383		0.310710498409332
2727793806	GH109.hmm	3.2e-17	1	122	7	119		0.96031746031746
2727793834	CE4.hmm	3.8e-13	25	125	88	188		0.769230769230769
2727793846	GT9.hmm	8.3e-57	2	221	86	331		0.973333333333333
2727793942	CE10.hmm	6.6e-20	77	316	462	702		0.700879765395894
2727794009	GH5.hmm	2.5e-41	17	239	73	425		0.807272727272727
2727794025	AA12.hmm	4.2e-14	185	399	267	451		0.533665835411471
2727794045	PL22.hmm	3.3e-12	140	255	286	401		0.433962264150943
2727794046	GT2.hmm	1.9e-15	1	111	7	107		0.654761904761905
2727794047	GT2.hmm	2.4e-10	6	106	12	108		0.595238095238095
2727794050	GT9.hmm	3.7e-45	2	219	62	327		0.964444444444444
2727794131	CE10.hmm	9.6e-33	69	193	47	215		0.363636363636364
2727794140	GT2.hmm	6.3e-13	8	166	393	553		0.94047619047619
2727794162	GH5_25.hmm	1.2e-96	1	261	64	332		0.99236641221374
2727794233	CE3.hmm	3.4e-12	53	184	87	222		0.675257731958763
2727794234	CE10.hmm	3.5e-08	79	294	49	236		0.63049853372434
2727794249	GT4.hmm	4.7e-19	10	124	185	286		0.7125
2727794302	AA6.hmm	3.9e-53	1	194	3	180		0.98974358974359
2727794324	GT28.hmm	1.9e-48	2	156	184	341		0.980891719745223
2727794331	CE11.hmm	1.5e-109	1	270	4	279		0.992619926199262
2727794335	GT51.hmm	2.6e-62	12	176	57	239		0.926553672316384
2727794459	CE1.hmm	2.8e-06	25	208	22	254		0.806167400881057
2727794462	AA4.hmm	1.1e-17	15	240	2	219		0.431034482758621
2727794474	CE4.hmm	2.9e-19	10	121	47	192		0.853846153846154
