Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727814496	GT4.hmm	5.5e-35	10	159	214	363		0.93125
2727814497	GT2.hmm	2.8e-15	2	123	162	278		0.720238095238095
2727814500	GT4.hmm	9.8e-24	6	157	164	316		0.94375
2727814501	GT2.hmm	2.4e-14	1	167	4	165		0.988095238095238
2727814502	GT2.hmm	7.8e-31	1	165	6	160		0.976190476190476
2727814503	GH109.hmm	2.1e-16	1	124	4	116		0.976190476190476
2727814506	GT2.hmm	1.7e-13	37	167	2	131		0.773809523809524
2727814511	GT4.hmm	6.5e-06	26	118	231	315		0.575
2727814512	GT4.hmm	9.4e-14	4	157	193	347		0.95625
2727814520	CE1.hmm	3.7e-25	1	222	21	267		0.973568281938326
2727814545	GH73.hmm	5e-33	3	128	32	160		0.9765625
2727814545	CBM50.hmm	0.00048	1	38	283	324		0.925
2727814559	GH109.hmm	1.7e-13	1	119	2	108		0.936507936507937
2727814589	CE14.hmm	1.2e-08	3	113	363	516		0.887096774193548
2727814590	GH20.hmm	1.5e-130	8	336	146	509		0.973293768545994
2727814618	GT5.hmm	2e-45	1	212	5	227		0.447033898305085
2727814626	CBM44.hmm	7.1e-06	21	60	807	847		0.609375
2727814626	CBM44.hmm	5.7e-07	23	59	989	1023		0.5625
2727814628	CE1.hmm	1.3e-12	10	212	555	781		0.889867841409692
2727814629	GH16.hmm	6.1e-53	2	189	36	266		0.989417989417989
2727814633	AA12.hmm	2.6e-32	10	399	33	412		0.970074812967581
2727814680	GT83.hmm	3.7e-44	8	366	7	391		0.662962962962963
2727814741	GH109.hmm	1.6e-45	1	125	39	163		0.984126984126984
2727814748	CE14.hmm	3e-24	1	124	6	111		0.991935483870968
2727814775	GT2.hmm	2.8e-31	2	168	5	172		0.988095238095238
2727814815	GT2.hmm	5.9e-16	1	115	3	109		0.678571428571429
2727814816	GT2.hmm	2.8e-07	17	132	20	144		0.68452380952381
2727814857	GH25.hmm	1.7e-48	1	177	62	237		0.994350282485876
2727814871	GH109.hmm	4.3e-07	6	122	56	167		0.920634920634921
2727814909	CBM44.hmm	9.1e-08	19	61	317	359		0.65625
2727814909	CBM44.hmm	6.7e-07	12	62	394	446		0.78125
2727814922	AA3.hmm	2.1e-51	87	401	3	554		0.508090614886731
2727814925	GH109.hmm	8.4e-12	1	124	5	132		0.976190476190476
2727814929	CBM66.hmm	2.8e-10	13	155	47	219		0.916129032258065
2727814962	GT2.hmm	4.3e-25	1	157	6	158		0.928571428571429
2727814963	GT87.hmm	9.6e-06	4	207	78	283		0.878787878787879
2727814964	CE4.hmm	1.9e-12	7	127	3	134		0.923076923076923
2727814968	CE1.hmm	5.3e-09	21	214	58	341		0.850220264317181
2727814973	CE3.hmm	2.8e-09	32	184	44	208		0.783505154639175
2727814996	CE1.hmm	7.1e-12	12	216	524	749		0.898678414096916
2727814999	CE4.hmm	6.2e-17	5	92	42	138		0.669230769230769
2727815031	GT2.hmm	6.2e-24	1	165	9	188		0.976190476190476
2727815033	GT2.hmm	1.9e-24	1	124	14	135		0.732142857142857
2727815037	GT4.hmm	9.7e-28	11	155	238	375		0.9
2727815040	GT4.hmm	7.8e-29	4	159	196	353		0.96875
2727815042	GT4.hmm	8.7e-37	7	156	211	360		0.93125
2727815044	GT9.hmm	4.5e-41	4	218	122	369		0.951111111111111
2727815045	GT4.hmm	1.8e-14	7	153	205	350		0.9125
2727815047	GT2.hmm	1e-23	1	167	4	160		0.988095238095238
2727815064	AA2.hmm	2.8e-14	12	117	79	186		0.411764705882353
2727815064	AA2.hmm	9.6e-07	154	251	300	415		0.380392156862745
2727815064	AA2.hmm	1.9e-15	22	253	467	734		0.905882352941176
2727815065	GH32.hmm	9.9e-100	1	287	34	336		0.976109215017065
2727815073	GH43_37.hmm	2.3e-48	2	139	69	206		0.593073593073593
2727815074	GH43_37.hmm	5.2e-31	139	231	2	102		0.398268398268398
2727815074	CBM61.hmm	2.3e-24	1	141	162	331		0.99290780141844
2727815144	CE1.hmm	1.7e-11	10	191	59	261		0.797356828193833
2727815147	CBM44.hmm	0.00021	4	63	135	194		0.921875
2727815147	CBM44.hmm	0.00032	4	63	229	288		0.921875
2727815170	AA3.hmm	3.2e-50	87	401	3	556		0.508090614886731
2727815171	CE1.hmm	1.1e-12	7	209	503	723		0.889867841409692
2727815185	GT9.hmm	4.5e-45	3	221	66	311		0.968888888888889
2727815210	GT19.hmm	1.8e-122	2	352	4	363		0.988700564971751
2727815248	CE14.hmm	3.1e-18	1	117	42	157		0.935483870967742
2727815253	GH13.hmm	3.9e-49	11	287	26	299		0.923076923076923
2727815256	CE4.hmm	5.1e-08	6	110	48	156		0.8
2727815259	GH5_39.hmm	6.5e-62	13	304	58	341		0.954098360655738
2727815262	GT2.hmm	3.8e-10	2	138	243	383		0.80952380952381
2727815275	GT4.hmm	1.2e-34	7	150	189	332		0.89375
2727815303	CBM48.hmm	1.1e-05	10	66	46	109		0.736842105263158
2727815303	CE1.hmm	3.7e-54	1	221	151	363		0.969162995594714
2727815305	CE10.hmm	3.6e-35	81	313	69	289		0.680351906158358
2727815306	GH8.hmm	1.6e-81	21	319	87	414		0.93125
2727815307	CE1.hmm	5.8e-53	1	217	50	269		0.951541850220264
2727815307	CE1.hmm	2.1e-56	1	219	410	635		0.960352422907489
2727815308	GH51.hmm	1e-86	112	430	243	569		0.504761904761905
2727815309	CE6.hmm	4.5e-33	2	98	90	199		0.96969696969697
2727815310	GH43_29.hmm	2.8e-79	1	270	23	318		0.996296296296296
2727815310	CBM6.hmm	8.8e-31	16	137	339	466		0.876811594202899
2727815311	CE1.hmm	5.3e-57	1	220	33	262		0.964757709251101
2727815312	GH29.hmm	7.3e-102	20	345	32	431		0.939306358381503
2727815313	GH97.hmm	5.1e-173	3	628	10	645		0.990491283676704
2727815314	GH95.hmm	2.4e-286	5	716	31	766		0.984764542936288
2727815315	GH43_12.hmm	4.9e-116	2	289	30	322		0.993079584775087
2727815316	GH43_10.hmm	2.6e-95	1	262	29	300		0.99618320610687
2727815317	GH5_22.hmm	7.1e-124	1	284	77	364		0.996478873239437
2727815318	GH43_2.hmm	1.1e-80	1	209	32	303		0.985781990521327
2727815318	CBM6.hmm	3.9e-14	39	137	351	448		0.710144927536232
2727815319	GH39.hmm	2.6e-104	54	431	97	509		0.874709976798144
2727815320	GH109.hmm	9.6e-17	1	121	40	155		0.952380952380952
2727815323	CE1.hmm	6.6e-32	3	222	48	279		0.964757709251101
2727815325	GH10.hmm	2.7e-102	2	301	23	370		0.986798679867987
2727815328	CE15.hmm	3.6e-85	2	268	80	508		0.988847583643123
2727815330	dockerin.hmm	0.00049	1	12	861	872		0.523809523809524
2727815331	CE6.hmm	0.00016	3	55	143	193		0.525252525252525
2727815331	CE6.hmm	6.5e-05	62	97	396	429		0.353535353535354
2727815332	GH43_1.hmm	7.9e-164	1	309	22	337		0.993548387096774
2727815334	GH10.hmm	1.2e-104	1	302	35	372		0.993399339933993
2727815335	GH115.hmm	2.5e-272	11	697	39	832		0.984218077474892
2727815361	GT4.hmm	8.3e-33	19	154	221	353		0.84375
2727815415	GT27.hmm	1.1e-22	2	225	16	232		0.75593220338983
2727815416	CE10.hmm	1.5e-29	82	317	55	280		0.689149560117302
2727815448	CE1.hmm	0.00076	93	165	117	195		0.317180616740088
2727815465	GH53.hmm	4.4e-111	2	338	41	339		0.982456140350877
2727815480	GH88.hmm	3.4e-127	4	329	71	393		0.987841945288754
2727815489	GT83.hmm	5.9e-78	11	488	7	493		0.883333333333333
2727815507	GH65.hmm	1.8e-101	3	371	307	643		0.989247311827957
2727815515	GH37.hmm	7.2e-172	1	491	19	491		0.9979633401222
2727815516	GH13_4.hmm	7.4e-177	2	398	106	504		0.994974874371859
2727815518	GH13_31.hmm	1.4e-136	1	349	62	408		0.994285714285714
2727815522	GH13.hmm	9.7e-29	23	286	52	459		0.879598662207358
2727815524	GH82.hmm	2.4e-05	7	69	399	460		0.335135135135135
2727815528	GH36.hmm	2.7e-209	3	687	27	700		0.994186046511628
2727815531	GH15.hmm	1.1e-08	39	241	301	506		0.559556786703601
2727815532	GH105.hmm	8.6e-95	7	330	71	403		0.97289156626506
2727815533	AA12.hmm	8.5e-13	12	216	62	260		0.508728179551122
2727815535	GH105.hmm	1.4e-79	12	331	63	374		0.960843373493976
2727815539	GH28.hmm	1.7e-64	7	309	52	390		0.929230769230769
2727815540	GH29.hmm	1.2e-105	34	345	7	351		0.898843930635838
2727815541	GH29.hmm	1.6e-98	20	346	41	395		0.942196531791908
2727815542	PL5.hmm	1.1e-09	129	248	179	299		0.375394321766562
2727815543	GH31.hmm	4.1e-84	2	427	198	627		0.995316159250585
2727815615	GH74.hmm	7.6e-09	33	136	36	137		0.44206008583691
2727815631	GT30.hmm	2e-46	5	176	38	209		0.966101694915254
2727815643	GH51.hmm	4.7e-135	82	542	21	516		0.73015873015873
2727815727	GT51.hmm	3.7e-61	1	177	55	231		0.994350282485876
2727815750	GT4.hmm	2.6e-18	4	151	196	358		0.91875
2727815751	GT2.hmm	2.8e-31	1	168	4	168		0.994047619047619
2727815755	CE7.hmm	1.2e-08	30	211	137	307		0.578274760383387
2727815779	CBM44.hmm	0.0003	3	64	683	738		0.953125
2727815779	CBM44.hmm	1.8e-07	13	59	780	823		0.71875
2727815779	CBM44.hmm	5.5e-06	23	56	874	905		0.515625
2727815779	CBM44.hmm	1.6e-07	10	61	1030	1079		0.796875
2727815779	CBM44.hmm	0.00083	6	62	1113	1167		0.875
2727815779	CBM44.hmm	1.5e-06	5	59	1196	1246		0.84375
2727815779	CBM44.hmm	2.3e-06	22	61	1296	1333		0.609375
2727815779	CBM44.hmm	1.5e-07	11	62	1366	1415		0.796875
2727815779	CBM44.hmm	5.4e-06	21	63	1635	1675		0.65625
2727815779	CBM44.hmm	9.3e-07	22	61	1720	1757		0.609375
2727815797	GT2.hmm	5.8e-13	3	113	7	113		0.654761904761905
2727815801	GT2.hmm	1.7e-24	2	165	8	168		0.970238095238095
2727815807	CBM67.hmm	3.8e-43	1	167	140	316		0.943181818181818
2727815807	GH78.hmm	2.2e-186	1	504	343	864		0.998015873015873
2727815811	CBM44.hmm	1.7e-06	22	61	265	307		0.609375
2727815826	CE10.hmm	5.4e-23	66	319	560	799		0.741935483870968
2727815849	GT4.hmm	4.3e-32	7	157	150	304		0.9375
2727815852	GH109.hmm	9e-10	3	119	392	499		0.920634920634921
2727815853	PL12_3.hmm	1.3e-24	12	141	329	446		0.902097902097902
2727815867	GH67.hmm	5.9e-268	62	666	54	664		0.902840059790732
2727815868	CE4.hmm	2.8e-18	6	118	27	157		0.861538461538462
2727815889	CE1.hmm	6e-08	21	143	262	405		0.537444933920705
2727815903	CBM44.hmm	0.00013	6	55	523	574		0.765625
2727815903	CBM44.hmm	0.00024	18	59	617	656		0.640625
2727815903	CBM44.hmm	0.00015	23	60	706	741		0.578125
2727815903	CBM44.hmm	1.1e-05	3	62	770	824		0.921875
2727815923	CE1.hmm	6.1e-10	101	198	132	254		0.427312775330396
2727815934	GH3.hmm	2.3e-59	7	215	99	322		0.962962962962963
2727815935	PL22.hmm	2.8e-08	108	211	70	160		0.388679245283019
2727815935	CE10.hmm	3.5e-17	83	334	469	709		0.736070381231672
2727815944	CE1.hmm	5.2e-06	9	115	60	167		0.466960352422908
2727815945	CBM48.hmm	4.9e-09	4	71	261	342		0.881578947368421
2727815945	GH13.hmm	1.9e-34	14	289	411	719		0.919732441471572
2727815949	CBM20.hmm	0.00024	18	60	375	415		0.466666666666667
2727815984	CE9.hmm	2.1e-101	2	367	6	359		0.978552278820375
2727815990	GT27.hmm	1.7e-21	1	225	4	228		0.759322033898305
2727815994	GT51.hmm	1.9e-45	8	176	53	231		0.949152542372881
2727816005	CE1.hmm	2.4e-08	27	140	22	124		0.497797356828194
2727816006	GT2.hmm	8.3e-25	2	166	48	219		0.976190476190476
2727816019	PL5.hmm	3.9e-08	142	262	213	334		0.378548895899054
2727816021	PL17_2.hmm	2e-17	60	137	185	261		0.557971014492754
2727816021	PL17_2.hmm	1.6e-48	1	137	379	522		0.985507246376812
2727816022	PL6_1.hmm	5.4e-124	2	346	65	414		0.982857142857143
2727816022	PL6_1.hmm	1.6e-29	2	314	498	731		0.891428571428571
2727816029	CE8.hmm	2.3e-39	2	236	31	282		0.8125
2727816030	GH105.hmm	2.8e-112	8	331	39	388		0.97289156626506
2727816031	GH28.hmm	2.8e-86	6	306	64	461		0.923076923076923
2727816032	CE8.hmm	3.1e-106	2	286	30	322		0.986111111111111
2727816033	CE12.hmm	2.9e-76	1	210	25	231		0.995238095238095
2727816047	GH5_5.hmm	3.9e-38	2	141	36	184		0.48943661971831
2727816047	GH5_5.hmm	1.8e-21	175	283	188	298		0.380281690140845
2727816048	GH5_5.hmm	7.3e-78	3	283	31	316		0.985915492957746
2727816062	CE7.hmm	1.6e-40	15	307	139	427		0.932907348242812
2727816068	CE1.hmm	4.4e-30	10	209	45	237		0.876651982378855
2727816070	GH18.hmm	2.6e-37	40	281	148	415		0.814189189189189
2727816070	CE4.hmm	4.2e-28	8	111	501	603		0.792307692307692
2727816070	GT2.hmm	1.5e-26	1	167	795	962		0.988095238095238
2727816098	CE4.hmm	5.9e-13	11	93	3	92		0.630769230769231
2727816100	GT51.hmm	8.8e-48	13	171	28	184		0.892655367231638
2727816145	CBM44.hmm	1.6e-07	6	62	687	743		0.875
2727816145	CBM44.hmm	2.2e-06	13	61	781	829		0.75
2727816145	CBM44.hmm	0.00039	23	62	883	920		0.609375
2727816145	CBM44.hmm	1.9e-06	16	61	1056	1101		0.703125
2727816145	CBM44.hmm	7.2e-07	13	61	1687	1738		0.75
2727816147	CE12.hmm	5.6e-16	64	209	87	220		0.69047619047619
2727816180	GT2.hmm	4.4e-10	1	121	5	124		0.714285714285714
2727816183	GT4.hmm	4e-26	8	156	186	333		0.925
2727816185	GT46.hmm	1.1e-70	3	275	4	264		0.764044943820225
2727816187	GT2.hmm	2e-26	1	117	8	127		0.69047619047619
2727816189	GT4.hmm	8.5e-11	4	118	196	309		0.7125
2727816203	CBM44.hmm	0.00017	22	56	59	91		0.53125
2727816203	CBM44.hmm	5.7e-08	11	61	130	177		0.78125
2727816203	CBM44.hmm	3e-08	7	58	215	262		0.796875
2727816203	CBM44.hmm	2.4e-08	6	58	300	348		0.8125
2727816203	CBM44.hmm	3.4e-06	4	62	382	436		0.90625
2727816203	CBM44.hmm	7.3e-05	10	56	470	514		0.71875
2727816203	CBM44.hmm	1.7e-05	6	63	553	607		0.890625
2727816288	CBM50.hmm	6e-12	1	40	30	73		0.975
2727816288	CBM50.hmm	6.9e-12	1	39	112	153		0.95
2727816289	CE1.hmm	7.2e-44	7	217	45	300		0.92511013215859
2727816295	GH5_46.hmm	1.4e-93	1	275	77	333		0.992753623188406
2727816353	GT5.hmm	2.3e-143	2	471	3	469		0.99364406779661
2727816356	GH13.hmm	1.4e-57	12	296	164	481		0.949832775919732
2727816363	CBM48.hmm	7.5e-17	9	69	63	137		0.789473684210526
2727816363	GH13_9.hmm	6e-130	1	290	208	508		0.993127147766323
2727816378	GT4.hmm	3.1e-23	13	153	213	353		0.875
2727816379	CBM20.hmm	5.4e-12	3	82	86	167		0.877777777777778
2727816379	CBM20.hmm	7.9e-10	5	86	220	306		0.9
2727816379	GH77.hmm	2.8e-151	1	488	331	973		0.98582995951417
2727816391	GH1.hmm	8.7e-146	3	425	6	445		0.983682983682984
2727816407	AA6.hmm	0.00069	57	120	67	127		0.323076923076923
2727816411	GH127.hmm	1.3e-206	1	524	33	578		0.998091603053435
2727816461	GT4.hmm	5.4e-23	5	153	180	328		0.925
2727816481	GT83.hmm	4.9e-23	8	363	24	358		0.657407407407407
2727816483	GH29.hmm	2.7e-104	20	346	13	356		0.942196531791908
2727816485	CE4.hmm	9.6e-28	5	117	22	130		0.861538461538462
2727816502	CE1.hmm	2.1e-09	24	143	67	227		0.524229074889868
2727816520	PL10.hmm	2.6e-107	1	287	75	370		0.996515679442509
2727816558	GT28.hmm	3.9e-10	30	138	223	342		0.687898089171974
2727816563	AA6.hmm	0.00034	40	120	47	120		0.41025641025641
2727816575	GH3.hmm	4.1e-66	3	213	62	296		0.972222222222222
2727816577	GH109.hmm	6.2e-16	2	117	46	170		0.912698412698413
2727816617	GT2.hmm	9.9e-17	1	104	4	113		0.613095238095238
2727816653	CBM44.hmm	0.00013	19	57	141	179		0.59375
2727816653	CBM44.hmm	7.6e-09	5	61	216	278		0.875
2727816653	CBM44.hmm	0.00049	8	62	401	457		0.84375
