contig contig_geneID GC Genome
Ga0182881_1005 Ga0182881_100520 0.465 121951.assembled.gff
Ga0182881_1005 Ga0182881_100521 0.444 121951.assembled.gff
Ga0182881_1005 Ga0182881_100522 0.458 121951.assembled.gff
Ga0182881_1005 Ga0182881_100523 0.471 121951.assembled.gff
Ga0182881_1005 Ga0182881_100524 0.487 121951.assembled.gff
Ga0182881_1005 Ga0182881_100525 0.48 121951.assembled.gff
Ga0182881_1005 Ga0182881_100526 0.516 121951.assembled.gff
Ga0182881_1005 Ga0182881_100527 0.5 121951.assembled.gff
Ga0182881_1005 Ga0182881_100528 0.475 121951.assembled.gff
Ga0182881_1006 Ga0182881_10061 0.475 121951.assembled.gff
Ga0182881_1007 Ga0182881_10071 0.458 121951.assembled.gff
Ga0182881_1007 Ga0182881_10072 0.455 121951.assembled.gff
Ga0182881_1007 Ga0182881_10073 0.443 121951.assembled.gff
Ga0182881_1007 Ga0182881_10074 0.451 121951.assembled.gff
Ga0182881_1007 Ga0182881_10075 0.475 121951.assembled.gff
Ga0182881_1007 Ga0182881_10076 0.496 121951.assembled.gff
Ga0182881_1007 Ga0182881_10077 0.381 121951.assembled.gff
Ga0182881_1007 Ga0182881_10078 0.458 121951.assembled.gff
Ga0182881_1007 Ga0182881_10079 0.46 121951.assembled.gff
Ga0182881_1007 Ga0182881_100710 0.481 121951.assembled.gff
Ga0182881_1007 Ga0182881_100711 0.455 121951.assembled.gff
Ga0182881_1007 Ga0182881_100712 0.468 121951.assembled.gff
Ga0182881_1007 Ga0182881_100713 0.471 121951.assembled.gff
Ga0182881_1007 Ga0182881_100714 0.496 121951.assembled.gff
Ga0182881_1007 Ga0182881_100715 0.471 121951.assembled.gff
Ga0182881_1007 Ga0182881_100716 0.502 121951.assembled.gff
Ga0182881_1007 Ga0182881_100717 0.465 121951.assembled.gff
Ga0182881_1007 Ga0182881_100718 0.452 121951.assembled.gff
Ga0182881_1007 Ga0182881_100719 0.472 121951.assembled.gff
Ga0182881_1007 Ga0182881_100720 0.463 121951.assembled.gff
Ga0182881_1007 Ga0182881_100721 0.453 121951.assembled.gff
Ga0182881_1007 Ga0182881_100722 0.469 121951.assembled.gff
Ga0182881_1007 Ga0182881_100723 0.459 121951.assembled.gff
Ga0182881_1007 Ga0182881_100724 0.438 121951.assembled.gff
Ga0182881_1007 Ga0182881_100725 0.406 121951.assembled.gff
Ga0182881_1007 Ga0182881_100726 0.461 121951.assembled.gff
Ga0182881_1007 Ga0182881_100727 0.492 121951.assembled.gff
Ga0182881_1007 Ga0182881_100728 0.453 121951.assembled.gff
Ga0182881_1008 Ga0182881_10081 0.424 121951.assembled.gff
Ga0182881_1008 Ga0182881_10082 0.445 121951.assembled.gff
Ga0182881_1008 Ga0182881_10083 0.481 121951.assembled.gff
Ga0182881_1008 Ga0182881_10084 0.447 121951.assembled.gff
Ga0182881_1008 Ga0182881_10085 0.493 121951.assembled.gff
Ga0182881_1008 Ga0182881_10086 0.413 121951.assembled.gff
Ga0182881_1008 Ga0182881_10087 0.484 121951.assembled.gff
Ga0182881_1008 Ga0182881_10088 0.486 121951.assembled.gff
Ga0182881_1008 Ga0182881_10089 0.463 121951.assembled.gff
Ga0182881_1008 Ga0182881_100810 0.432 121951.assembled.gff
Ga0182881_1008 Ga0182881_100811 0.472 121951.assembled.gff
Ga0182881_1008 Ga0182881_100812 0.466 121951.assembled.gff
Ga0182881_1008 Ga0182881_100813 0.466 121951.assembled.gff
Ga0182881_1008 Ga0182881_100814 0.462 121951.assembled.gff
Ga0182881_1008 Ga0182881_100815 0.485 121951.assembled.gff
Ga0182881_1008 Ga0182881_100816 0.465 121951.assembled.gff
Ga0182881_1008 Ga0182881_100817 0.451 121951.assembled.gff
Ga0182881_1008 Ga0182881_100818 0.446 121951.assembled.gff
Ga0182881_1008 Ga0182881_100819 0.467 121951.assembled.gff
Ga0182881_1008 Ga0182881_100820 0.465 121951.assembled.gff
Ga0182881_1008 Ga0182881_100821 0.46 121951.assembled.gff
Ga0182881_1008 Ga0182881_100822 0.44 121951.assembled.gff
Ga0182881_1008 Ga0182881_100823 0.462 121951.assembled.gff
Ga0182881_1008 Ga0182881_100824 0.482 121951.assembled.gff
Ga0182881_1008 Ga0182881_100825 0.473 121951.assembled.gff
Ga0182881_1008 Ga0182881_100826 0.465 121951.assembled.gff
Ga0182881_1008 Ga0182881_100827 0.438 121951.assembled.gff
Ga0182881_1008 Ga0182881_100828 0.446 121951.assembled.gff
Ga0182881_1009 Ga0182881_10091 0.456 121951.assembled.gff
Ga0182881_1009 Ga0182881_10092 0.448 121951.assembled.gff
Ga0182881_1009 Ga0182881_10093 0.462 121951.assembled.gff
Ga0182881_1009 Ga0182881_10094 0.469 121951.assembled.gff
Ga0182881_1009 Ga0182881_10095 0.41 121951.assembled.gff
Ga0182881_1009 Ga0182881_10096 0.481 121951.assembled.gff
Ga0182881_1009 Ga0182881_10097 0.471 121951.assembled.gff
Ga0182881_1009 Ga0182881_10098 0.477 121951.assembled.gff
Ga0182881_1009 Ga0182881_10099 0.403 121951.assembled.gff
Ga0182881_1009 Ga0182881_100910 0.47 121951.assembled.gff
Ga0182881_1009 Ga0182881_100911 0.465 121951.assembled.gff
Ga0182881_1009 Ga0182881_100912 0.414 121951.assembled.gff
Ga0182881_1009 Ga0182881_100913 0.447 121951.assembled.gff
Ga0182881_1009 Ga0182881_100914 0.489 121951.assembled.gff
Ga0182881_1009 Ga0182881_100915 0.435 121951.assembled.gff
Ga0182881_1009 Ga0182881_100916 0.463 121951.assembled.gff
Ga0182881_1009 Ga0182881_100917 0.454 121951.assembled.gff
Ga0182881_1009 Ga0182881_100918 0.464 121951.assembled.gff
Ga0182881_1009 Ga0182881_100919 0.465 121951.assembled.gff
Ga0182881_1009 Ga0182881_100920 0.453 121951.assembled.gff
Ga0182881_1009 Ga0182881_100921 0.429 121951.assembled.gff
Ga0182881_1009 Ga0182881_100922 0.416 121951.assembled.gff
Ga0182881_1009 Ga0182881_100923 0.364 121951.assembled.gff
Ga0182881_1009 Ga0182881_100924 0.337 121951.assembled.gff
Ga0182881_1009 Ga0182881_100925 0.455 121951.assembled.gff
Ga0182881_1010 Ga0182881_10101 0.481 121951.assembled.gff
Ga0182881_1010 Ga0182881_10102 0.487 121951.assembled.gff
Ga0182881_1010 Ga0182881_10103 0.426 121951.assembled.gff
Ga0182881_1010 Ga0182881_10104 0.487 121951.assembled.gff
Ga0182881_1010 Ga0182881_10105 0.49 121951.assembled.gff
Ga0182881_1010 Ga0182881_10106 0.488 121951.assembled.gff
Ga0182881_1010 Ga0182881_10107 0.46 121951.assembled.gff
Ga0182881_1010 Ga0182881_10108 0.492 121951.assembled.gff
Ga0182881_1010 Ga0182881_10109 0.484 121951.assembled.gff
Ga0182881_1010 Ga0182881_101010 0.46 121951.assembled.gff
Ga0182881_1010 Ga0182881_101011 0.477 121951.assembled.gff
Ga0182881_1010 Ga0182881_101012 0.48 121951.assembled.gff
Ga0182881_1010 Ga0182881_101013 0.437 121951.assembled.gff
Ga0182881_1010 Ga0182881_101014 0.459 121951.assembled.gff
Ga0182881_1010 Ga0182881_101015 0.478 121951.assembled.gff
Ga0182881_1010 Ga0182881_101016 0.476 121951.assembled.gff
Ga0182881_1010 Ga0182881_101017 0.485 121951.assembled.gff
Ga0182881_1010 Ga0182881_101018 0.451 121951.assembled.gff
Ga0182881_1010 Ga0182881_101019 0.466 121951.assembled.gff
Ga0182881_1010 Ga0182881_101020 0.512 121951.assembled.gff
Ga0182881_1010 Ga0182881_101021 0.48 121951.assembled.gff
Ga0182881_1010 Ga0182881_101022 0.499 121951.assembled.gff
Ga0182881_1010 Ga0182881_101023 0.485 121951.assembled.gff
Ga0182881_1010 Ga0182881_101024 0.495 121951.assembled.gff
Ga0182881_1010 Ga0182881_101025 0.479 121951.assembled.gff
Ga0182881_1010 Ga0182881_101026 0.493 121951.assembled.gff
Ga0182881_1011 Ga0182881_10111 0.467 121951.assembled.gff
Ga0182881_1011 Ga0182881_10112 0.513 121951.assembled.gff
Ga0182881_1011 Ga0182881_10113 0.439 121951.assembled.gff
Ga0182881_1011 Ga0182881_10114 0.445 121951.assembled.gff
Ga0182881_1011 Ga0182881_10115 0.432 121951.assembled.gff
Ga0182881_1011 Ga0182881_10116 0.469 121951.assembled.gff
Ga0182881_1011 Ga0182881_10117 0.437 121951.assembled.gff
Ga0182881_1011 Ga0182881_10118 0.448 121951.assembled.gff
Ga0182881_1011 Ga0182881_10119 0.476 121951.assembled.gff
Ga0182881_1011 Ga0182881_101110 0.453 121951.assembled.gff
Ga0182881_1011 Ga0182881_101111 0.477 121951.assembled.gff
Ga0182881_1011 Ga0182881_101112 0.514 121951.assembled.gff
Ga0182881_1011 Ga0182881_101113 0.487 121951.assembled.gff
Ga0182881_1011 Ga0182881_101114 0.48 121951.assembled.gff
Ga0182881_1011 Ga0182881_101115 0.466 121951.assembled.gff
Ga0182881_1011 Ga0182881_101116 0.429 121951.assembled.gff
Ga0182881_1011 Ga0182881_101117 0.448 121951.assembled.gff
Ga0182881_1011 Ga0182881_101118 0.453 121951.assembled.gff
Ga0182881_1011 Ga0182881_101119 0.458 121951.assembled.gff
Ga0182881_1011 Ga0182881_101120 0.439 121951.assembled.gff
Ga0182881_1011 Ga0182881_101121 0.452 121951.assembled.gff
Ga0182881_1011 Ga0182881_101122 0.431 121951.assembled.gff
Ga0182881_1011 Ga0182881_101123 0.435 121951.assembled.gff
Ga0182881_1011 Ga0182881_101124 0.466 121951.assembled.gff
Ga0182881_1011 Ga0182881_101125 0.428 121951.assembled.gff
Ga0182881_1011 Ga0182881_101126 0.447 121951.assembled.gff
Ga0182881_1011 Ga0182881_101127 0.474 121951.assembled.gff
Ga0182881_1011 Ga0182881_101128 0.431 121951.assembled.gff
Ga0182881_1011 Ga0182881_101129 0.455 121951.assembled.gff
Ga0182881_1011 Ga0182881_101130 0.448 121951.assembled.gff
Ga0182881_1011 Ga0182881_101131 0.453 121951.assembled.gff
Ga0182881_1011 Ga0182881_101132 0.424 121951.assembled.gff
Ga0182881_1011 Ga0182881_101133 0.426 121951.assembled.gff
Ga0182881_1011 Ga0182881_101135 0.359 121951.assembled.gff
Ga0182881_1011 Ga0182881_101136 0.326 121951.assembled.gff
Ga0182881_1011 Ga0182881_101137 0.417 121951.assembled.gff
Ga0182881_1011 Ga0182881_101138 0.428 121951.assembled.gff
Ga0182881_1011 Ga0182881_101139 0.417 121951.assembled.gff
Ga0182881_1011 Ga0182881_101140 0.462 121951.assembled.gff
Ga0182881_1011 Ga0182881_101141 0.359 121951.assembled.gff
Ga0182881_1011 Ga0182881_101142 0.413 121951.assembled.gff
Ga0182881_1011 Ga0182881_101143 0.47 121951.assembled.gff
Ga0182881_1011 Ga0182881_101144 0.468 121951.assembled.gff
Ga0182881_1011 Ga0182881_101145 0.468 121951.assembled.gff
Ga0182881_1011 Ga0182881_101146 0.434 121951.assembled.gff
Ga0182881_1011 Ga0182881_101147 0.457 121951.assembled.gff
Ga0182881_1011 Ga0182881_101148 0.464 121951.assembled.gff
Ga0182881_1011 Ga0182881_101149 0.45 121951.assembled.gff
Ga0182881_1011 Ga0182881_101150 0.468 121951.assembled.gff
Ga0182881_1011 Ga0182881_101151 0.459 121951.assembled.gff
Ga0182881_1011 Ga0182881_101152 0.451 121951.assembled.gff
Ga0182881_1011 Ga0182881_101153 0.407 121951.assembled.gff
Ga0182881_1011 Ga0182881_101154 0.425 121951.assembled.gff
Ga0182881_1011 Ga0182881_101156 0.456 121951.assembled.gff
Ga0182881_1011 Ga0182881_101157 0.48 121951.assembled.gff
Ga0182881_1011 Ga0182881_101158 0.469 121951.assembled.gff
Ga0182881_1011 Ga0182881_101159 0.448 121951.assembled.gff
Ga0182881_1011 Ga0182881_101160 0.457 121951.assembled.gff
Ga0182881_1011 Ga0182881_101161 0.468 121951.assembled.gff
Ga0182881_1011 Ga0182881_101162 0.468 121951.assembled.gff
Ga0182881_1011 Ga0182881_101163 0.466 121951.assembled.gff
Ga0182881_1011 Ga0182881_101164 0.451 121951.assembled.gff
Ga0182881_1011 Ga0182881_101165 0.483 121951.assembled.gff
Ga0182881_1011 Ga0182881_101166 0.49 121951.assembled.gff
Ga0182881_1011 Ga0182881_101167 0.478 121951.assembled.gff
Ga0182881_1011 Ga0182881_101168 0.469 121951.assembled.gff
Ga0182881_1011 Ga0182881_101169 0.467 121951.assembled.gff
Ga0182881_1011 Ga0182881_101170 0.435 121951.assembled.gff
Ga0182881_1011 Ga0182881_101171 0.435 121951.assembled.gff
Ga0182881_1011 Ga0182881_101172 0.448 121951.assembled.gff
Ga0182881_1011 Ga0182881_101173 0.473 121951.assembled.gff
Ga0182881_1011 Ga0182881_101174 0.469 121951.assembled.gff
Ga0182881_1011 Ga0182881_101175 0.481 121951.assembled.gff
Ga0182881_1011 Ga0182881_101176 0.46 121951.assembled.gff
Ga0182881_1011 Ga0182881_101177 0.445 121951.assembled.gff
Ga0182881_1011 Ga0182881_101178 0.437 121951.assembled.gff
Ga0182881_1011 Ga0182881_101179 0.462 121951.assembled.gff
Ga0182881_1012 Ga0182881_10121 0.36 121951.assembled.gff
Ga0182881_1012 Ga0182881_10122 0.391 121951.assembled.gff
Ga0182881_1012 Ga0182881_10123 0.431 121951.assembled.gff
Ga0182881_1012 Ga0182881_10124 0.443 121951.assembled.gff
Ga0182881_1012 Ga0182881_10125 0.448 121951.assembled.gff
Ga0182881_1012 Ga0182881_10126 0.433 121951.assembled.gff
Ga0182881_1012 Ga0182881_10127 0.468 121951.assembled.gff
Ga0182881_1012 Ga0182881_10128 0.42 121951.assembled.gff
Ga0182881_1012 Ga0182881_10129 0.415 121951.assembled.gff
Ga0182881_1012 Ga0182881_101210 0.369 121951.assembled.gff
Ga0182881_1012 Ga0182881_101211 0.446 121951.assembled.gff
Ga0182881_1012 Ga0182881_101212 0.451 121951.assembled.gff
Ga0182881_1012 Ga0182881_101213 0.48 121951.assembled.gff
Ga0182881_1012 Ga0182881_101214 0.438 121951.assembled.gff
Ga0182881_1012 Ga0182881_101215 0.397 121951.assembled.gff
Ga0182881_1012 Ga0182881_101216 0.42 121951.assembled.gff
Ga0182881_1012 Ga0182881_101217 0.414 121951.assembled.gff
Ga0182881_1012 Ga0182881_101218 0.421 121951.assembled.gff
Ga0182881_1012 Ga0182881_101219 0.44 121951.assembled.gff
Ga0182881_1012 Ga0182881_101220 0.428 121951.assembled.gff
Ga0182881_1012 Ga0182881_101221 0.414 121951.assembled.gff
Ga0182881_1012 Ga0182881_101222 0.399 121951.assembled.gff
Ga0182881_1012 Ga0182881_101223 0.403 121951.assembled.gff
Ga0182881_1012 Ga0182881_101224 0.452 121951.assembled.gff
Ga0182881_1012 Ga0182881_101225 0.461 121951.assembled.gff
Ga0182881_1012 Ga0182881_101226 0.459 121951.assembled.gff
Ga0182881_1012 Ga0182881_101227 0.451 121951.assembled.gff
Ga0182881_1012 Ga0182881_101228 0.45 121951.assembled.gff
Ga0182881_1012 Ga0182881_101229 0.455 121951.assembled.gff
Ga0182881_1012 Ga0182881_101230 0.415 121951.assembled.gff
Ga0182881_1012 Ga0182881_101231 0.416 121951.assembled.gff
Ga0182881_1012 Ga0182881_101232 0.406 121951.assembled.gff
Ga0182881_1012 Ga0182881_101233 0.475 121951.assembled.gff
Ga0182881_1012 Ga0182881_101234 0.485 121951.assembled.gff
Ga0182881_1012 Ga0182881_101235 0.464 121951.assembled.gff
Ga0182881_1012 Ga0182881_101236 0.473 121951.assembled.gff
Ga0182881_1012 Ga0182881_101237 0.409 121951.assembled.gff
Ga0182881_1012 Ga0182881_101238 0.444 121951.assembled.gff
Ga0182881_1012 Ga0182881_101239 0.432 121951.assembled.gff
Ga0182881_1012 Ga0182881_101240 0.453 121951.assembled.gff
Ga0182881_1012 Ga0182881_101241 0.437 121951.assembled.gff
Ga0182881_1012 Ga0182881_101242 0.426 121951.assembled.gff
Ga0182881_1012 Ga0182881_101243 0.436 121951.assembled.gff
Ga0182881_1012 Ga0182881_101244 0.468 121951.assembled.gff
Ga0182881_1012 Ga0182881_101245 0.46 121951.assembled.gff
Ga0182881_1012 Ga0182881_101246 0.434 121951.assembled.gff
Ga0182881_1012 Ga0182881_101247 0.442 121951.assembled.gff
Ga0182881_1012 Ga0182881_101248 0.425 121951.assembled.gff
Ga0182881_1012 Ga0182881_101249 0.465 121951.assembled.gff
Ga0182881_1012 Ga0182881_101250 0.496 121951.assembled.gff
Ga0182881_1012 Ga0182881_101251 0.397 121951.assembled.gff
Ga0182881_1012 Ga0182881_101252 0.441 121951.assembled.gff
Ga0182881_1012 Ga0182881_101254 0.466 121951.assembled.gff
Ga0182881_1012 Ga0182881_101255 0.477 121951.assembled.gff
Ga0182881_1012 Ga0182881_101256 0.465 121951.assembled.gff
Ga0182881_1012 Ga0182881_101257 0.439 121951.assembled.gff
Ga0182881_1012 Ga0182881_101258 0.487 121951.assembled.gff
Ga0182881_1012 Ga0182881_101259 0.482 121951.assembled.gff
Ga0182881_1012 Ga0182881_101260 0.449 121951.assembled.gff
Ga0182881_1012 Ga0182881_101261 0.468 121951.assembled.gff
Ga0182881_1012 Ga0182881_101262 0.44 121951.assembled.gff
Ga0182881_1012 Ga0182881_101267 0.483 121951.assembled.gff
Ga0182881_1012 Ga0182881_101269 0.413 121951.assembled.gff
Ga0182881_1012 Ga0182881_101270 0.449 121951.assembled.gff
Ga0182881_1012 Ga0182881_101271 0.43 121951.assembled.gff
Ga0182881_1012 Ga0182881_101272 0.489 121951.assembled.gff
Ga0182881_1012 Ga0182881_101273 0.473 121951.assembled.gff
Ga0182881_1012 Ga0182881_101274 0.444 121951.assembled.gff
Ga0182881_1012 Ga0182881_101275 0.475 121951.assembled.gff
Ga0182881_1012 Ga0182881_101276 0.453 121951.assembled.gff
Ga0182881_1012 Ga0182881_101277 0.514 121951.assembled.gff
Ga0182881_1012 Ga0182881_101278 0.484 121951.assembled.gff
Ga0182881_1012 Ga0182881_101279 0.483 121951.assembled.gff
Ga0182881_1012 Ga0182881_101280 0.427 121951.assembled.gff
Ga0182881_1012 Ga0182881_101281 0.47 121951.assembled.gff
Ga0182881_1013 Ga0182881_10131 0.461 121951.assembled.gff
Ga0182881_1013 Ga0182881_10132 0.402 121951.assembled.gff
Ga0182881_1013 Ga0182881_10133 0.493 121951.assembled.gff
Ga0182881_1013 Ga0182881_10134 0.463 121951.assembled.gff
Ga0182881_1013 Ga0182881_10135 0.489 121951.assembled.gff
Ga0182881_1013 Ga0182881_10136 0.473 121951.assembled.gff
Ga0182881_1013 Ga0182881_10137 0.431 121951.assembled.gff
Ga0182881_1013 Ga0182881_10138 0.464 121951.assembled.gff
Ga0182881_1013 Ga0182881_10139 0.481 121951.assembled.gff
Ga0182881_1013 Ga0182881_101310 0.441 121951.assembled.gff
Ga0182881_1013 Ga0182881_101311 0.489 121951.assembled.gff
Ga0182881_1013 Ga0182881_101312 0.448 121951.assembled.gff
Ga0182881_1013 Ga0182881_101313 0.491 121951.assembled.gff
Ga0182881_1013 Ga0182881_101314 0.451 121951.assembled.gff
Ga0182881_1013 Ga0182881_101315 0.494 121951.assembled.gff
Ga0182881_1013 Ga0182881_101316 0.47 121951.assembled.gff
Ga0182881_1013 Ga0182881_101317 0.447 121951.assembled.gff
Ga0182881_1013 Ga0182881_101318 0.463 121951.assembled.gff
Ga0182881_1013 Ga0182881_101319 0.447 121951.assembled.gff
Ga0182881_1013 Ga0182881_101320 0.439 121951.assembled.gff
Ga0182881_1013 Ga0182881_101321 0.458 121951.assembled.gff
Ga0182881_1013 Ga0182881_101322 0.452 121951.assembled.gff
Ga0182881_1013 Ga0182881_101323 0.447 121951.assembled.gff
Ga0182881_1013 Ga0182881_101324 0.441 121951.assembled.gff
Ga0182881_1013 Ga0182881_101325 0.441 121951.assembled.gff
Ga0182881_1013 Ga0182881_101326 0.488 121951.assembled.gff
Ga0182881_1013 Ga0182881_101327 0.459 121951.assembled.gff
Ga0182881_1013 Ga0182881_101328 0.463 121951.assembled.gff
Ga0182881_1013 Ga0182881_101329 0.481 121951.assembled.gff
Ga0182881_1013 Ga0182881_101330 0.452 121951.assembled.gff
Ga0182881_1013 Ga0182881_101331 0.466 121951.assembled.gff
Ga0182881_1013 Ga0182881_101332 0.457 121951.assembled.gff
Ga0182881_1013 Ga0182881_101333 0.442 121951.assembled.gff
Ga0182881_1013 Ga0182881_101334 0.485 121951.assembled.gff
Ga0182881_1013 Ga0182881_101335 0.491 121951.assembled.gff
Ga0182881_1013 Ga0182881_101336 0.459 121951.assembled.gff
Ga0182881_1013 Ga0182881_101337 0.46 121951.assembled.gff
Ga0182881_1013 Ga0182881_101338 0.454 121951.assembled.gff
Ga0182881_1013 Ga0182881_101339 0.466 121951.assembled.gff
Ga0182881_1013 Ga0182881_101340 0.467 121951.assembled.gff
Ga0182881_1013 Ga0182881_101341 0.446 121951.assembled.gff
Ga0182881_1013 Ga0182881_101342 0.476 121951.assembled.gff
Ga0182881_1013 Ga0182881_101343 0.442 121951.assembled.gff
Ga0182881_1013 Ga0182881_101344 0.464 121951.assembled.gff
Ga0182881_1013 Ga0182881_101345 0.454 121951.assembled.gff
Ga0182881_1013 Ga0182881_101346 0.462 121951.assembled.gff
Ga0182881_1013 Ga0182881_101347 0.458 121951.assembled.gff
Ga0182881_1013 Ga0182881_101348 0.463 121951.assembled.gff
Ga0182881_1013 Ga0182881_101349 0.457 121951.assembled.gff
Ga0182881_1013 Ga0182881_101350 0.468 121951.assembled.gff
Ga0182881_1013 Ga0182881_101351 0.464 121951.assembled.gff
Ga0182881_1013 Ga0182881_101352 0.477 121951.assembled.gff
Ga0182881_1013 Ga0182881_101353 0.486 121951.assembled.gff
Ga0182881_1013 Ga0182881_101354 0.484 121951.assembled.gff
Ga0182881_1013 Ga0182881_101355 0.475 121951.assembled.gff
Ga0182881_1013 Ga0182881_101356 0.467 121951.assembled.gff
Ga0182881_1013 Ga0182881_101357 0.469 121951.assembled.gff
Ga0182881_1013 Ga0182881_101358 0.478 121951.assembled.gff
Ga0182881_1013 Ga0182881_101359 0.479 121951.assembled.gff
Ga0182881_1013 Ga0182881_101360 0.464 121951.assembled.gff
Ga0182881_1013 Ga0182881_101361 0.442 121951.assembled.gff
Ga0182881_1013 Ga0182881_101362 0.476 121951.assembled.gff
Ga0182881_1013 Ga0182881_101363 0.453 121951.assembled.gff
Ga0182881_1013 Ga0182881_101364 0.461 121951.assembled.gff
Ga0182881_1013 Ga0182881_101365 0.446 121951.assembled.gff
Ga0182881_1013 Ga0182881_101366 0.492 121951.assembled.gff
Ga0182881_1013 Ga0182881_101368 0.462 121951.assembled.gff
Ga0182881_1013 Ga0182881_101369 0.472 121951.assembled.gff
Ga0182881_1013 Ga0182881_101370 0.488 121951.assembled.gff
Ga0182881_1013 Ga0182881_101371 0.453 121951.assembled.gff
Ga0182881_1014 Ga0182881_10141 0.456 121951.assembled.gff
Ga0182881_1014 Ga0182881_10142 0.45 121951.assembled.gff
Ga0182881_1014 Ga0182881_10143 0.485 121951.assembled.gff
Ga0182881_1014 Ga0182881_10144 0.457 121951.assembled.gff
Ga0182881_1014 Ga0182881_10145 0.437 121951.assembled.gff
Ga0182881_1014 Ga0182881_10146 0.39 121951.assembled.gff
Ga0182881_1014 Ga0182881_10147 0.462 121951.assembled.gff
Ga0182881_1015 Ga0182881_10151 0.458 121951.assembled.gff
Ga0182881_1015 Ga0182881_10153 0.48 121951.assembled.gff
Ga0182881_1016 Ga0182881_10161 0.575 121951.assembled.gff
Ga0182881_1016 Ga0182881_10162 0.483 121951.assembled.gff
Ga0182881_1016 Ga0182881_10163 0.34 121951.assembled.gff
Ga0182881_1016 Ga0182881_10164 0.468 121951.assembled.gff
Ga0182881_1016 Ga0182881_10165 0.441 121951.assembled.gff
Ga0182881_1016 Ga0182881_10166 0.457 121951.assembled.gff
Ga0182881_1017 Ga0182881_10171 0.417 121951.assembled.gff
Ga0182881_1017 Ga0182881_10172 0.454 121951.assembled.gff
Ga0182881_1018 Ga0182881_10181 0.485 121951.assembled.gff
Ga0182881_1019 Ga0182881_10191 0.385 121951.assembled.gff
Ga0182881_1019 Ga0182881_10192 0.447 121951.assembled.gff
Ga0182881_1019 Ga0182881_10193 0.48 121951.assembled.gff
Ga0182881_1019 Ga0182881_10194 0.442 121951.assembled.gff
Ga0182881_1019 Ga0182881_10195 0.457 121951.assembled.gff
Ga0182881_1019 Ga0182881_10196 0.484 121951.assembled.gff
Ga0182881_1019 Ga0182881_10197 0.503 121951.assembled.gff
