Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727795598	CBM44.hmm	2.8e-05	18	61	1187	1231		0.671875
2727795609	GT4.hmm	1.4e-38	5	158	195	345		0.95625
2727795615	CE1.hmm	4.2e-08	8	95	58	141		0.383259911894273
2727795621	GH74.hmm	1.6e-11	38	110	73	152		0.309012875536481
2727795621	GH74.hmm	5.2e-14	21	112	162	263		0.390557939914163
2727795621	GH74.hmm	9e-12	36	118	235	319		0.351931330472103
2727795621	GH74.hmm	1.2e-11	36	136	285	383		0.429184549356223
2727795621	GH74.hmm	1.1e-06	46	181	341	465		0.579399141630901
2727795621	GH74.hmm	3.5e-07	47	121	529	622		0.317596566523605
2727795621	GH74.hmm	8.4e-13	41	138	589	692		0.416309012875536
2727795622	GH95.hmm	2.5e-283	5	718	30	791		0.987534626038781
2727795626	CE10.hmm	9.9e-36	85	316	45	270		0.67741935483871
2727795662	CE10.hmm	1e-29	59	316	429	681		0.75366568914956
2727795675	PL22.hmm	1.2e-11	104	204	48	134		0.377358490566038
2727795675	PL22.hmm	3.2e-07	117	217	204	290		0.377358490566038
2727795678	CE4.hmm	8.1e-15	5	106	57	163		0.776923076923077
2727795701	CE1.hmm	5.5e-61	1	223	37	290		0.977973568281938
2727795704	GH18.hmm	2e-36	48	281	151	407		0.787162162162162
2727795704	CE4.hmm	2.7e-28	5	108	491	595		0.792307692307692
2727795704	GT2.hmm	3.9e-28	1	167	781	945		0.988095238095238
2727795744	GT9.hmm	1e-43	4	221	83	328		0.964444444444444
2727795768	GH109.hmm	6e-11	1	121	5	117		0.952380952380952
2727795799	GH29.hmm	1e-101	19	346	13	356		0.945086705202312
2727795805	GT78.hmm	0.00072	55	118	52	113		0.470149253731343
2727795807	CE3.hmm	3.1e-09	49	184	66	204		0.695876288659794
2727795844	CE8.hmm	3.1e-16	86	244	3	184		0.548611111111111
2727795844	PL10.hmm	1.2e-106	1	287	275	569		0.996515679442509
2727795907	AA3.hmm	1.7e-56	82	404	5	578		0.521035598705502
2727795931	CBM44.hmm	9.2e-06	20	61	338	385		0.640625
2727795931	CBM44.hmm	0.00057	18	59	426	469		0.640625
2727795932	CBM44.hmm	2.9e-07	20	62	326	368		0.65625
2727795933	CE1.hmm	2.1e-10	29	194	23	232		0.726872246696035
2727795941	GH3.hmm	1.1e-70	3	214	116	335		0.976851851851852
2727795990	GT4.hmm	5.1e-09	7	157	181	332		0.9375
2727796005	CBM48.hmm	2.8e-16	8	69	74	149		0.802631578947368
2727796005	GH13_9.hmm	1.8e-131	1	290	220	520		0.993127147766323
2727796009	GH13.hmm	2.2e-55	12	295	165	485		0.946488294314381
2727796012	GT5.hmm	1.2e-145	2	471	3	468		0.99364406779661
2727796054	AA7.hmm	1.2e-62	8	456	104	585		0.978165938864629
2727796059	dockerin.hmm	0.00096	1	13	127	139		0.571428571428571
2727796066	CBM44.hmm	0.00017	6	62	136	194		0.875
2727796066	CBM44.hmm	0.00029	19	62	241	284		0.671875
2727796066	CBM44.hmm	2.6e-05	3	60	315	374		0.890625
2727796077	GT81.hmm	6.9e-15	23	120	2	86		0.331058020477816
2727796093	CE1.hmm	2.3e-30	6	209	34	234		0.894273127753304
2727796102	CBM20.hmm	5.6e-13	3	82	68	150		0.877777777777778
2727796102	CBM20.hmm	1.1e-09	6	82	205	285		0.844444444444444
2727796102	GH77.hmm	7.8e-153	1	489	315	961		0.987854251012146
2727796103	AA3_2.hmm	2.8e-111	4	567	2	531		0.987719298245614
2727796128	CE14.hmm	3.4e-24	1	124	6	111		0.991935483870968
2727796144	GH109.hmm	4.9e-39	1	126	34	160		0.992063492063492
2727796146	CE12.hmm	6.6e-06	65	207	86	268		0.676190476190476
2727796150	CBM67.hmm	9.8e-10	11	93	136	221		0.465909090909091
2727796151	CE1.hmm	3.2e-21	5	223	55	285		0.960352422907489
2727796179	CE3.hmm	1.2e-06	53	124	426	496		0.365979381443299
2727796202	GH43_28.hmm	7.5e-111	2	258	49	316		0.992248062015504
2727796202	CBM32.hmm	5.5e-21	13	107	360	468		0.758064516129032
2727796210	GH13_31.hmm	7.9e-135	1	349	60	400		0.994285714285714
2727796214	GH29.hmm	5.6e-106	11	346	8	383		0.968208092485549
2727796215	CE10.hmm	1e-39	55	322	48	310		0.782991202346041
2727796220	GH109.hmm	3.6e-15	2	122	49	178		0.952380952380952
2727796236	GT2.hmm	1.1e-26	6	168	1	164		0.964285714285714
2727796244	CE10.hmm	1.1e-08	121	324	753	942		0.595307917888563
2727796266	GH10.hmm	3.6e-116	2	302	34	363		0.99009900990099
2727796271	GH51.hmm	1.3e-136	83	542	19	510		0.728571428571429
2727796272	GH43_1.hmm	1.2e-166	1	310	42	350		0.996774193548387
2727796273	GH67.hmm	4.7e-299	1	667	25	695		0.995515695067265
2727796298	GT4.hmm	5.1e-33	3	157	190	344		0.9625
2727796358	CBM44.hmm	9.3e-07	13	59	837	880		0.71875
2727796360	CBM20.hmm	1.3e-05	28	66	35	71		0.422222222222222
2727796366	CBM35.hmm	0.00039	18	97	43	120		0.642276422764228
2727796394	CBM44.hmm	2.8e-06	22	59	825	863		0.578125
2727796394	CBM44.hmm	6.4e-07	21	59	915	953		0.59375
2727796394	CBM44.hmm	3.4e-07	22	58	999	1033		0.5625
2727796394	CBM44.hmm	0.00014	22	63	1082	1125		0.640625
2727796403	GT2.hmm	3.1e-16	1	165	50	217		0.976190476190476
2727796412	AA3.hmm	1.4e-41	86	402	17	570		0.511326860841424
2727796413	AA3.hmm	5.9e-51	81	402	9	567		0.519417475728155
2727796415	GH3.hmm	4.4e-51	2	213	139	388		0.976851851851852
2727796417	GH3.hmm	5.8e-75	3	216	92	313		0.986111111111111
2727796433	GT83.hmm	6.7e-76	10	476	7	481		0.862962962962963
2727796438	CE1.hmm	2.7e-58	1	217	28	258		0.951541850220264
2727796443	GH74.hmm	2.2e-12	29	109	115	199		0.343347639484979
2727796446	GH32.hmm	6.4e-103	1	293	33	346		0.996587030716723
2727796450	CE14.hmm	4.9e-18	1	117	53	168		0.935483870967742
2727796464	CBM66.hmm	1.1e-11	2	148	30	183		0.941935483870968
2727796484	GT2.hmm	1.1e-28	1	168	4	168		0.994047619047619
2727796485	GT94.hmm	5.6e-20	30	218	109	310		0.664310954063604
2727796538	GH20.hmm	4.1e-118	9	336	157	518		0.970326409495549
2727796601	CE1.hmm	2.6e-27	9	197	3	193		0.828193832599119
2727796603	CBM50.hmm	0.00061	7	40	55	94		0.825
2727796603	CBM50.hmm	0.00025	1	39	113	155		0.95
2727796624	CBM40.hmm	2e-11	26	174	625	773		0.826815642458101
2727796624	CBM40.hmm	1e-06	82	173	1150	1237		0.508379888268156
2727796644	GH63.hmm	2.5e-20	364	566	425	867		0.354385964912281
2727796647	GH109.hmm	2.8e-11	1	117	45	156		0.920634920634921
2727796651	GH109.hmm	5.5e-23	1	120	35	152		0.944444444444444
2727796657	CE10.hmm	1.5e-23	70	324	558	801		0.744868035190616
2727796667	GH109.hmm	5.5e-09	2	121	6	129		0.944444444444444
2727796670	AA3.hmm	1.2e-52	87	404	3	557		0.51294498381877
2727796673	GH109.hmm	9e-16	3	120	51	161		0.928571428571429
2727796691	CBM30.hmm	0.00081	5	88	22	99		0.912087912087912
2727796691	GH9.hmm	1e-78	2	418	115	584		0.995215311004785
2727796691	CE4.hmm	2e-15	9	124	623	753		0.884615384615385
2727796703	CE4.hmm	2.9e-14	9	127	3	132		0.907692307692308
2727796704	GT2.hmm	4.3e-26	2	166	7	167		0.976190476190476
2727796705	GT87.hmm	2.8e-08	5	225	77	303		0.952380952380952
2727796763	GH19.hmm	1.3e-66	5	231	27	273		0.978354978354978
2727796788	GT19.hmm	3.5e-123	2	352	4	372		0.988700564971751
2727796795	GH130.hmm	7.4e-94	9	285	64	386		0.932432432432432
2727796816	GH74.hmm	1.5e-10	37	120	45	125		0.356223175965665
2727796821	CE1.hmm	6.1e-13	13	210	568	794		0.86784140969163
2727796826	GH13.hmm	1.9e-47	12	286	59	334		0.916387959866221
2727796860	AA2.hmm	2.4e-14	11	117	83	191		0.415686274509804
2727796860	AA2.hmm	8.3e-07	154	251	301	416		0.380392156862745
2727796860	AA2.hmm	3e-12	22	253	468	735		0.905882352941176
2727796902	GT2.hmm	2.4e-12	2	165	9	175		0.970238095238095
2727796911	GT2.hmm	3.9e-26	1	168	62	236		0.994047619047619
2727796922	CE10.hmm	1.2e-20	81	335	470	713		0.744868035190616
2727796974	GH127.hmm	4.4e-100	1	281	33	319		0.534351145038168
2727796975	CBM40.hmm	1.8e-11	27	172	60	202		0.810055865921788
2727797070	CE1.hmm	1e-18	12	216	530	748		0.898678414096916
2727797096	GT2.hmm	4e-08	7	131	11	140		0.738095238095238
2727797103	GT4.hmm	4.1e-13	12	147	183	316		0.84375
2727797106	GT4.hmm	2.9e-17	11	151	221	366		0.875
2727797112	GT2.hmm	1.5e-15	1	102	5	110		0.601190476190476
2727797141	GH23.hmm	2.3e-21	2	118	103	233		0.859259259259259
2727797180	PL22.hmm	5.8e-08	127	249	298	465		0.460377358490566
2727797204	CE4.hmm	3.6e-26	5	110	22	123		0.807692307692308
2727797206	GT83.hmm	9.4e-22	6	363	4	341		0.661111111111111
2727797212	GH29.hmm	2.8e-101	19	346	12	355		0.945086705202312
2727797244	CE11.hmm	1.2e-75	1	234	10	244		0.859778597785978
2727797272	CE10.hmm	6e-24	84	315	432	654		0.67741935483871
2727797281	GH43_26.hmm	1.1e-89	1	292	25	327		0.996575342465753
2727797328	CE1.hmm	3.6e-10	7	201	474	685		0.854625550660793
2727797348	GT27.hmm	4e-19	2	225	8	224		0.75593220338983
2727797370	CBM12.hmm	2.1e-05	7	28	138	159		0.617647058823529
2727797406	GT83.hmm	2.7e-43	7	360	6	350		0.653703703703704
2727797443	GH127.hmm	7.8e-208	1	524	36	565		0.998091603053435
2727797455	PL5.hmm	1.1e-09	146	255	211	321		0.34384858044164
2727797473	GH29.hmm	7.8e-107	30	345	21	368		0.910404624277457
2727797474	AA3.hmm	1.8e-49	81	402	9	562		0.519417475728155
2727797480	GT30.hmm	6.3e-43	9	176	41	208		0.943502824858757
2727797493	GH109.hmm	1.8e-14	1	120	2	109		0.944444444444444
2727797502	GH16.hmm	5.8e-54	2	189	55	285		0.989417989417989
2727797510	GT28.hmm	2.8e-47	1	157	207	365		0.993630573248408
2727797540	GT26.hmm	1e-55	2	171	57	229		0.988304093567251
2727797544	GT25.hmm	3.5e-16	5	179	13	187		0.961325966850829
2727797547	GT27.hmm	2.9e-19	1	232	4	235		0.783050847457627
2727797553	CE10.hmm	1.5e-09	144	316	722	880		0.504398826979472
2727797554	GH109.hmm	2.9e-10	49	122	38	114		0.579365079365079
2727797576	GT4.hmm	1.1e-07	10	144	195	325		0.8375
2727797577	GT4.hmm	2.4e-23	7	148	193	327		0.88125
2727797578	GT2.hmm	7.8e-33	2	165	8	164		0.970238095238095
2727797639	GH109.hmm	7.1e-23	2	120	49	171		0.936507936507937
2727797688	CE1.hmm	3.2e-20	5	221	390	635		0.951541850220264
2727797714	CE1.hmm	2.1e-15	5	143	33	207		0.607929515418502
2727797729	GT4.hmm	1.6e-18	9	158	190	341		0.93125
2727797730	GT4.hmm	6e-23	12	115	207	310		0.64375
2727797742	GT9.hmm	6.2e-44	5	222	72	316		0.964444444444444
2727797768	CE1.hmm	2.6e-26	1	222	21	267		0.973568281938326
2727797772	GT2.hmm	1.1e-06	1	109	5	112		0.642857142857143
2727797773	GT9.hmm	6.6e-36	2	195	100	326		0.857777777777778
2727797778	GT2.hmm	5.3e-28	1	163	7	173		0.964285714285714
2727797791	GH13.hmm	8e-51	12	287	27	299		0.919732441471572
2727797809	CE4.hmm	2e-07	5	108	54	164		0.792307692307692
2727797822	GH29.hmm	8.9e-80	37	334	27	332		0.858381502890173
2727797822	CBM32.hmm	3.2e-09	10	107	350	448		0.782258064516129
2727797847	CE1.hmm	6.9e-17	70	221	72	240		0.665198237885463
