Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727791937	2727791937	2.3190008e-05	6.343e-07	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791937/Limnohabitans_MAG/2727791937_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792599	2727792599	2.58966666666667e-05	7.399e-07	9	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792599/Limnohabitans_MAG/2727792599_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793389	2727793389	2.58966666666667e-05	7.650e-07	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793389/Limnohabitans_MAG/2727793389_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791684	2727791684	2.89085142857143e-05	8.856e-07	8	96	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791684/Limnohabitans_MAG/2727791684_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791994	2727791994	3.08427724137931e-05	9.786e-07	7	51	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791994/Limnohabitans_MAG/2727791994_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792343	2727792343	3.34524e-05	1.098e-06	9	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792343/Limnohabitans_MAG/2727792343_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792903	2727792903	3.7474e-05	1.271e-06	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792903/Limnohabitans_MAG/2727792903_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793624	2727793624	3.7531125e-05	1.314e-06	9	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793624/Limnohabitans_MAG/2727793624_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791831	2727791831	5.20426060606061e-05	1.879e-06	9	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791831/Limnohabitans_MAG/2727791831_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791792	2727791792	5.2555e-05	1.955e-06	9	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791792/Limnohabitans_MAG/2727791792_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791861	2727791861	5.31948e-05	2.037e-06	9	29	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791861/Limnohabitans_MAG/2727791861_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793669	2727793669	5.62363888888889e-05	2.215e-06	9	58	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793669/Limnohabitans_MAG/2727793669_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792167	2727792167	6.0990972972973e-05	2.469e-06	9	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792167/Limnohabitans_MAG/2727792167_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793041	2727793041	6.24406315789474e-05	2.596e-06	8	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793041/Limnohabitans_MAG/2727793041_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792902	2727792902	6.26207179487179e-05	2.672e-06	9	76	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792902/Limnohabitans_MAG/2727792902_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793611	2727793611	7.026375e-05	3.075e-06	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793611/Limnohabitans_MAG/2727793611_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793350	2727793350	8.44000975609756e-05	3.786e-06	9	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793350/Limnohabitans_MAG/2727793350_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791608	2727791608	8.98005e-05	4.225e-06	9	28	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791608/Limnohabitans_MAG/2727791608_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791658	2727791658	8.98005e-05	4.257e-06	7	95	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791658/Limnohabitans_MAG/2727791658_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792615	2727792615	8.98005e-05	4.323e-06	9	59	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792615/Limnohabitans_MAG/2727792615_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791675	2727791675	8.98969777777778e-05	4.426e-06	9	30	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791675/Limnohabitans_MAG/2727791675_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792068	2727792068	0.000107355260869565	5.403e-06	9	78	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792068/Limnohabitans_MAG/2727792068_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791258	2727791258	0.000136014625	7.095e-06	9	56	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791258/Limnohabitans_MAG/2727791258_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793072	2727793072	0.000136014625	7.143e-06	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793072/Limnohabitans_MAG/2727793072_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790961	2727790961	0.000163885795918367	8.786e-06	6	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790961/Limnohabitans_MAG/2727790961_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791493	2727791493	0.0002034564	1.113e-05	9	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791493/Limnohabitans_MAG/2727791493_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792018	2727792018	0.000222048235294118	1.239e-05	9	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792018/Limnohabitans_MAG/2727792018_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794316	2727794316	0.000263852830188679	1.518e-05	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794316/Limnohabitans_MAG/2727794316_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794168	2727794168	0.000263852830188679	1.530e-05	9	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794168/Limnohabitans_MAG/2727794168_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790936	2727790936	0.000273184444444445	1.614e-05	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790936/Limnohabitans_MAG/2727790936_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792834	2727792834	0.000293310909090909	1.765e-05	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792834/Limnohabitans_MAG/2727792834_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792460	2727792460	0.000324143571428571	1.986e-05	9	43	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792460/Limnohabitans_MAG/2727792460_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793729	2727793729	0.000332728070175439	2.075e-05	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793729/Limnohabitans_MAG/2727793729_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793295	2727793295	0.000335501034482759	2.129e-05	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793295/Limnohabitans_MAG/2727793295_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793309	2727793309	0.000352804	2.310e-05	9	56	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793309/Limnohabitans_MAG/2727793309_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793694	2727793694	0.000352804	2.316e-05	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793694/Limnohabitans_MAG/2727793694_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793429	2727793429	0.000371054516129032	2.480e-05	9	58	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793429/Limnohabitans_MAG/2727793429_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792500	2727792500	0.000371054516129032	2.517e-05	8	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792500/Limnohabitans_MAG/2727792500_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791066	2727791066	0.000398242857142857	2.745e-05	9	37	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791066/Limnohabitans_MAG/2727791066_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793285	2727793285	0.000516124375	3.614e-05	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793285/Limnohabitans_MAG/2727793285_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792287	2727792287	0.000549923333333333	3.951e-05	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792287/Limnohabitans_MAG/2727792287_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792725	2727792725	0.000549923333333333	3.971e-05	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792725/Limnohabitans_MAG/2727792725_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791920	2727791920	0.000574865074626866	4.214e-05	9	28	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791920/Limnohabitans_MAG/2727791920_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793230	2727793230	0.000654585294117647	4.870e-05	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793230/Limnohabitans_MAG/2727793230_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794134	2727794134	0.000671326376811594	5.068e-05	8	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794134/Limnohabitans_MAG/2727794134_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793721	2727793721	0.000715662	5.481e-05	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793721/Limnohabitans_MAG/2727793721_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793392	2727793392	0.000758494794520548	5.997e-05	9	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793392/Limnohabitans_MAG/2727793392_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793723	2727793723	0.000758494794520548	6.047e-05	9	35	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793723/Limnohabitans_MAG/2727793723_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794122	2727794122	0.000758494794520548	6.058e-05	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794122/Limnohabitans_MAG/2727794122_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791563	2727791563	0.000768130540540541	6.219e-05	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791563/Limnohabitans_MAG/2727791563_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793459	2727793459	0.000863059733333333	7.082e-05	9	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793459/Limnohabitans_MAG/2727793459_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792907	2727792907	0.000874433421052632	7.271e-05	9	32	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792907/Limnohabitans_MAG/2727792907_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791884	2727791884	0.000891384358974359	7.570e-05	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791884/Limnohabitans_MAG/2727791884_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793854	2727793854	0.000891384358974359	7.607e-05	9	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793854/Limnohabitans_MAG/2727793854_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791145	2727791145	0.000895835696202532	7.743e-05	9	18	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791145/Limnohabitans_MAG/2727791145_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791736	2727791736	0.000899794457831325	7.892e-05	8	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791736/Limnohabitans_MAG/2727791736_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792227	2727792227	0.000899794457831325	8.024e-05	9	47	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792227/Limnohabitans_MAG/2727792227_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792659	2727792659	0.000899794457831325	8.082e-05	9	49	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792659/Limnohabitans_MAG/2727792659_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792822	2727792822	0.000899794457831325	8.171e-05	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792822/Limnohabitans_MAG/2727792822_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793274	2727793274	0.000900834047619048	8.279e-05	9	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793274/Limnohabitans_MAG/2727793274_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790672	2727790672	0.000906120689655173	8.456e-05	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790672/Limnohabitans_MAG/2727790672_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792355	2727792355	0.000906120689655173	8.590e-05	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792355/Limnohabitans_MAG/2727792355_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792712	2727792712	0.000906120689655173	8.625e-05	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792712/Limnohabitans_MAG/2727792712_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792336	2727792336	0.000930825909090909	8.962e-05	9	31	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792336/Limnohabitans_MAG/2727792336_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792644	2727792644	0.000948403370786517	9.235e-05	9	77	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792644/Limnohabitans_MAG/2727792644_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792076	2727792076	0.00095513	9.405e-05	9	28	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792076/Limnohabitans_MAG/2727792076_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790774	2727790774	0.00103251868131868	1.028e-04	9	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790774/Limnohabitans_MAG/2727790774_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792432	2727792432	0.00113355869565217	1.141e-04	8	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792432/Limnohabitans_MAG/2727792432_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792191	2727792191	0.00115773333333333	1.178e-04	8	41	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792191/Limnohabitans_MAG/2727792191_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791704	2727791704	0.00116344583333333	1.204e-04	9	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791704/Limnohabitans_MAG/2727791704_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791943	2727791943	0.00116344583333333	1.212e-04	5	32	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791943/Limnohabitans_MAG/2727791943_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791809	2727791809	0.00116344583333333	1.222e-04	9	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791809/Limnohabitans_MAG/2727791809_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792280	2727792280	0.00119286326530612	1.272e-04	9	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792280/Limnohabitans_MAG/2727792280_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
